read_name_str,read_lengths,mapping_qualities,avg_base_qualities,mode_base_qualities,median_base_qualities,num_overlap_aligned_bases,fraction_overlap_aligned,num_nones,fraction_nones,num_inserts,fraction_inserts,num_mismatches,fraction_mismatches,num_ambiguous
394a678f-a6e7-4174-aada-aaed9b43bf37,1604,60,24.65648379052369,30,28.0,1283,0.19738461538461538,17,0.01059850374064838,25,0.015586034912718205,19,0.011845386533665835,0
ae310cf1-3508-407f-9e26-4ad73da5deaf,6841,60,19.564537348340885,26,21.0,6339,0.9752307692307692,166,0.024265458266335332,144,0.02104955415874872,146,0.021341909077620232,0
49d925e9-8c1c-46f2-ab59-c6f216179236,6895,60,20.65482233502538,29,22.0,6356,0.9778461538461538,147,0.02131979695431472,161,0.023350253807106598,123,0.01783901377810007,0
1a785755-597c-4b5f-acb0-d668c16af1ee,6881,60,21.399360558058422,29,24.0,6351,0.9770769230769231,150,0.02179915709925883,167,0.02426972823717483,89,0.012934166545560238,0
d415eecd-2c6c-44ce-b1f6-626d1f7524d9,6811,60,21.982087799148438,29,24.0,6329,0.9736923076923077,172,0.025253266774335634,118,0.01732491557774189,106,0.015563059756276611,0
45d405a6-50a7-4c17-b918-65e254d5d1d5,6909,60,23.095961788970907,29,26.0,6408,0.9858461538461538,93,0.013460703430308293,121,0.017513388334057026,56,0.008105369807497468,0
38d16150-bce6-407c-a59c-e387b56b0b95,6989,60,21.78909715266848,28,24.0,6329,0.9736923076923077,176,0.025182429532121905,104,0.014880526541708398,74,0.010588066962369438,0
8b2ed8a8-14d5-41a5-8bf2-11becdaa5eb4,6887,60,23.25381152896762,29,26.0,6411,0.9863076923076923,90,0.013068099317554814,98,0.014229708145781908,60,0.00871206621170321,0
fc0cca12-1980-47f8-abb1-ba5cac6db498,6750,60,17.509037037037036,7,17.0,6249,0.9613846153846154,256,0.037925925925925925,148,0.021925925925925925,186,0.027555555555555555,0
3bea1ebf-73df-4030-bb5e-a8de4a799778,6798,60,22.07046190055899,29,24.0,6396,0.984,109,0.016034127684613122,124,0.018240659017358045,86,0.012650779641070904,0
ae70fdca-1326-4f78-bd74-d0c62cfec37c,6779,60,22.120814279392242,29,25.0,6373,0.9804615384615385,127,0.018734326596843192,123,0.018144269066233957,95,0.014013866351969316,0
2d61dd49-1a84-4b6f-8859-ad7d442cceee,6526,60,11.530186944529573,5,9.0,5984,0.9206153846153846,539,0.08259270609868219,285,0.04367146797425682,494,0.07569721115537849,0
84971f67-5143-4ab0-87d4-0366dea31253,5761,60,22.179135566741884,28,24.0,5456,0.8393846153846154,78,0.01353931609095643,103,0.01787884047908349,66,0.011456344384655441,0
46b1d29d-7288-4dde-9b1d-de55a2cd59ee,6535,60,21.013006885998468,29,23.0,6181,0.9509230769230769,338,0.05172149961744453,91,0.013925019127773526,102,0.015608263198163734,0
6e6086d6-0e2e-43e8-8fb5-cf9e1d8e2e04,6800,60,23.721911764705883,28,26.0,6418,0.9873846153846154,83,0.012205882352941176,101,0.014852941176470588,64,0.009411764705882352,0
de392ef6-a853-44e8-93c0-4b0b87907d9d,6807,60,23.612457764066402,28,26.0,6429,0.9890769230769231,74,0.01087116203907742,100,0.014690759512266784,31,0.004554135448802703,0
600ce225-9861-4f3e-9b84-b999dbc1fdf1,6968,60,21.97273249138921,29,24.0,6383,0.982,132,0.01894374282433984,138,0.019804822043628014,98,0.014064293915040185,0
1134c9e4-bf32-4a0b-80ad-c690df8e90fa,6760,60,20.93949704142012,29,23.0,6361,0.9786153846153847,143,0.021153846153846155,138,0.020414201183431954,143,0.021153846153846155,0
9d47e700-ece2-4775-bc55-07ecd8297b96,6758,60,20.43000887836638,25,22.0,6354,0.9775384615384616,150,0.02219591595146493,126,0.01864456939923054,106,0.015685113939035218,0
da01314c-32c9-466a-a0ea-d0721cc0fb57,6640,60,17.617620481927712,9,18.0,6207,0.9549230769230769,296,0.04457831325301205,167,0.025150602409638553,199,0.029969879518072288,0
fbd759cf-0b06-4f76-b7fa-7aab6f490787,6799,60,24.03721135461097,29,26.0,6416,0.9870769230769231,84,0.012354758052654803,101,0.014855125753787321,38,0.00558905721429622,0
2d0de079-268b-4243-af8d-68d2d4223d0e,6745,60,23.29770200148258,29,26.0,6393,0.9835384615384616,108,0.016011860637509267,89,0.013194959229058561,70,0.010378057820607857,0
13985194-c009-438c-a223-3480e7154860,6777,60,25.15346023314151,29,27.0,6406,0.9855384615384616,94,0.013870444149328611,89,0.013132654566917515,50,0.007377895824110963,0
030ffe45-7f33-492f-a867-0e10bfba6677,6805,60,24.20587803085966,29,27.0,6419,0.9875384615384616,83,0.012196914033798677,107,0.015723732549595887,37,0.005437178545187362,0
c5d57870-3c7b-4fe1-acff-d3de85132937,6771,60,24.390193472160686,29,27.0,6420,0.9876923076923076,85,0.012553537143701079,91,0.013439669177374096,60,0.008861320336730172,0
b062d691-d50e-43d8-93fa-f5bc6e42dcb8,6791,60,25.364600206155206,29,27.0,6451,0.9924615384615385,49,0.007215432189662789,76,0.011191282579885142,22,0.0032395817994404358,0
123ea33f-25d4-4984-973a-9fadc1e940ff,6754,60,22.261178560852827,29,25.0,6371,0.9801538461538462,137,0.020284275984601717,109,0.016138584542493336,88,0.013029315960912053,0
82ec8e99-ce06-4519-b75f-21cb9c1851c4,6746,60,23.68440557367329,29,26.5,6220,0.9569230769230769,79,0.011710643344203972,327,0.04847316928550252,32,0.004743551734361103,0
40b381c5-504c-4778-b9dd-4d0c1a75b08f,6774,60,22.385887215825214,28,24.0,6398,0.9843076923076923,107,0.015795689400649543,106,0.01564806613522291,73,0.01077649837614408,0
d4a49ed0-1271-47ec-940e-2e0f5e726893,4604,60,23.61120764552563,28,26.0,4292,0.6603076923076923,73,0.01585577758470895,111,0.02410947002606429,32,0.0069504778453518675,0
daa9cd34-a645-4e15-9bde-80b63c4a049b,6796,60,23.9299587992937,29,26.0,6416,0.9870769230769231,86,0.012654502648616834,100,0.014714537963507945,46,0.006768687463213655,0
71d36960-0557-48b4-9fe9-280f5d416b62,5575,60,19.73883408071749,27,21.0,5246,0.807076923076923,139,0.02493273542600897,133,0.023856502242152466,92,0.016502242152466366,0
6461d67c-ec13-4e86-b906-f3af426235ac,6750,60,22.88725925925926,29,25.0,6398,0.9843076923076923,109,0.016148148148148148,90,0.013333333333333334,67,0.009925925925925927,0
2c9538fb-c692-45ef-bc75-fe287fa443cd,6939,60,23.69433635970601,28,26.0,6395,0.9838461538461538,112,0.016140654272949993,102,0.014699524427150886,51,0.007349762213575443,0
88996c05-06f6-4076-a8fa-69008f6499a6,6747,60,21.720468356306508,29,24.0,6368,0.9796923076923076,139,0.020601748925448346,123,0.01823032458870609,92,0.01363568993626797,0
9eb2c9cb-1326-440e-9a12-968e96153f09,4887,60,21.32903621853898,27,23.0,4589,0.706,99,0.020257826887661142,96,0.019643953345610803,54,0.011049723756906077,0
b4579ac1-4039-41a4-96d5-3c5d611ecf69,6760,60,22.475295857988165,29,25.0,6400,0.9846153846153847,101,0.014940828402366864,97,0.014349112426035503,85,0.01257396449704142,0
f326055d-91ff-4377-9649-135e20b4b0ff,6787,60,22.277294828348314,28,24.0,6410,0.9861538461538462,90,0.013260645351407101,95,0.01399734787092972,62,0.009135111242080447,0
04eebcd4-21a1-4a9c-b88e-eae4df91e68c,1146,60,22.141361256544503,29,25.0,911,0.14015384615384616,16,0.013961605584642234,36,0.031413612565445025,17,0.014834205933682374,0
c7ba4031-d6fb-4ffd-ad89-d3666255cadc,6777,60,24.512321086026265,29,27.0,6428,0.9889230769230769,76,0.011214401652648665,89,0.013132654566917515,61,0.009001032905415375,0
0fcbfa72-90b3-4dc4-91f3-f18a7dc1db66,6807,60,23.57088291464669,29,26.0,6409,0.986,103,0.015131482297634788,130,0.01909798736594682,60,0.00881445570736007,0
84299a65-7f14-4370-9b56-2bfbc1811cf1,6739,60,17.89004303309096,27,18.0,6262,0.9633846153846154,244,0.036207152396497994,201,0.029826383736459416,195,0.028936043923430774,0
3cd06627-9343-4a73-b75b-f182f86409c3,6761,60,23.67859784055613,29,26.0,6410,0.9861538461538462,94,0.013903268747226742,87,0.012867918946901346,77,0.011388847803579353,0
69941240-fef3-42ea-8e8c-dddb0c68314d,6775,60,24.444428044280443,29,27.0,6426,0.9886153846153846,78,0.01151291512915129,88,0.012988929889298893,26,0.003837638376383764,0
0742000d-0d39-44b7-8fb6-e9cd91094c02,6794,60,22.086694141889904,29,24.0,6392,0.9833846153846154,111,0.016337945245805122,128,0.018840153076243746,80,0.011775095672652341,0
decfa672-b56e-454e-a11e-54700aea5706,6747,60,23.92322513709797,29,27.0,6392,0.9833846153846154,111,0.0164517563361494,89,0.013191047873128798,49,0.007262487031273158,0
550fe11c-8e88-4988-836b-06d0efd5fc87,6710,60,22.673472429210133,29,25.0,6353,0.9773846153846154,150,0.022354694485842028,97,0.014456035767511177,76,0.011326378539493294,0
e200a134-8114-4fe0-81ed-0271056dbfdd,8381,60,16.130056079226822,4,14.0,4266,0.6563076923076923,99,0.01181243288390407,3914,0.46700871017778306,60,0.007159050232669132,0
b13bd687-cc37-44be-9d11-b321848a52db,6778,60,23.76423723812334,29,26.0,6410,0.9861538461538462,90,0.013278253172027146,100,0.014753614635585718,70,0.010327530244910003,0
78bdadec-a0cb-4079-b2fa-c0055c316b13,6810,60,24.61806167400881,29,27.0,6441,0.9909230769230769,61,0.008957415565345081,89,0.013069016152716594,58,0.008516886930983847,0
43e6bec7-3112-4e7b-8a9b-17d993f14876,6928,60,23.27136258660508,29,25.0,6387,0.9826153846153847,114,0.016454965357967668,92,0.013279445727482679,54,0.00779445727482679,0
0b011ce5-fd80-460e-9557-c1f8ce05a10f,232,60,18.125,24,20.0,6,0.0009230769230769231,4,0.017241379310344827,27,0.11637931034482758,6,0.02586206896551724,0
1394cd38-1f71-45b2-ad30-1409c82f83c7,5697,60,21.813059505002634,28,24.0,5423,0.8343076923076923,110,0.019308407934000352,74,0.01298929261014569,64,0.01123398279796384,0
a6c84220-0119-4a5c-b89a-66597cedbfba,6033,60,18.183988065638985,26,18.0,5712,0.8787692307692307,190,0.03149345267694348,125,0.020719376761147025,146,0.024200232057019724,0
6fb7bec8-704f-4f1c-9840-f13e858aead8,2807,60,18.32098325614535,23,19.0,2528,0.3889230769230769,82,0.02921268257926612,82,0.02921268257926612,66,0.023512646954043464,0
62d4e6aa-fbf0-48a1-8884-0cfc0ffdbb4a,6688,60,20.249401913875598,29,22.0,6293,0.9681538461538461,210,0.031399521531100476,131,0.01958732057416268,165,0.024671052631578948,0
199f9923-6593-4a4c-b8e3-757cae8f2ae8,2853,60,24.590606379249913,29,27.0,2606,0.40092307692307694,43,0.015071854188573432,47,0.016473887136347704,16,0.005608131791097091,0
870c66a4-85ea-4888-a433-f02e8015f012,6959,60,24.300474206064088,29,27.0,6405,0.9853846153846154,107,0.015375772381089238,104,0.01494467595918954,48,0.006897542750395172,0
f47f90bb-d47e-4b85-afbf-f69d83d22e6d,6794,60,23.324845451869297,28,26.0,6413,0.9866153846153846,88,0.012952605239917574,100,0.014718869590815425,67,0.009861642625846335,0
02bcb4a5-09d5-4fe4-b02f-b21218fc3b7c,6787,60,22.278031530867835,29,25.0,6409,0.986,103,0.015176071902165906,108,0.015912774421688522,84,0.012376602327979961,0
3bd4243b-948a-46c4-847b-4f0de035c38e,6795,60,22.827814569536425,29,25.0,6403,0.9850769230769231,102,0.015011037527593819,115,0.01692420897718911,63,0.009271523178807948,0
5ba38a94-53f5-4ff3-8c5c-816119c205f2,6776,60,22.433589138134593,28,24.0,6375,0.9807692307692307,128,0.018890200708382526,122,0.018004722550177096,72,0.010625737898465172,0
080c2ffc-3777-49e1-9b37-9615cd24756f,6776,60,19.971517119244393,28,21.0,6352,0.9772307692307692,149,0.021989374262101534,143,0.021103896103896104,117,0.0172668240850059,0
b5001615-bf2c-4e54-9c43-83126c187470,6781,60,23.31160595782333,29,26.0,6382,0.9818461538461538,120,0.017696504940274294,119,0.01754903406577201,65,0.009585606842648578,0
ea65c5c8-6239-4b0b-be38-01f8b1fff702,6639,60,16.909022443139026,5,16.0,6194,0.9529230769230769,317,0.04774815484259678,187,0.028166892604307877,292,0.04398252748907968,0
0910a6f2-f738-494b-9b62-34a078f0bf4e,6762,60,23.976042590949422,29,26.0,6415,0.9869230769230769,85,0.012570245489500148,79,0.01168293404318249,46,0.006802721088435374,0
4ab331aa-0d6e-42f4-aad9-2e2f4e068705,6934,60,22.12864147678108,28,24.0,6417,0.9872307692307692,83,0.011970002884338044,237,0.03417940582636285,64,0.009229881742140178,0
8b022ae2-ec08-478e-ad43-25ca87e73e20,6541,60,22.195688732609693,28,24.0,6202,0.9541538461538461,94,0.014370891301024308,144,0.02201498241859043,58,0.008867145696376701,0
